set_number,set_name,year_released,image_url,theme_name
8053,Mobile Crane,2010,https://cdn.rebrickable.com/media/sets/8053-1.jpg,Technic
8063,Tractor with Trailer,2009,https://cdn.rebrickable.com/media/sets/8063-1.jpg,Technic
8065,Mini Container Truck,2011,https://cdn.rebrickable.com/media/sets/8065-1.jpg,Technic
8066,Off-Roader,2011,https://cdn.rebrickable.com/media/sets/8066-1.jpg,Technic
8067,Mini Mobile Crane,2011,https://cdn.rebrickable.com/media/sets/8067-1.jpg,Technic
8068,Rescue Helicopter,2011,https://cdn.rebrickable.com/media/sets/8068-1.jpg,Technic
8069,Backhoe Loader,2011,https://cdn.rebrickable.com/media/sets/8069-1.jpg,Technic
8070,Supercar,2011,https://cdn.rebrickable.com/media/sets/8070-1.jpg,Technic
8071,Lift Truck,2011,https://cdn.rebrickable.com/media/sets/8071-1.jpg,Technic
8081,Extreme Cruiser,2011,https://cdn.rebrickable.com/media/sets/8081-1.jpg,Technic
8109,Flatbed Truck,2011,https://cdn.rebrickable.com/media/sets/8109-1.jpg,Technic
8110,Unimog U400,2011,https://cdn.rebrickable.com/media/sets/8110-1.jpg,Technic
8203,Rover Discovery,1998,https://cdn.rebrickable.com/media/sets/8203-1.jpg,Technic
8204,Sky Flyer I,1998,https://cdn.rebrickable.com/media/sets/8204-1.jpg,Technic
8205,Bungee Blaster,1997,https://cdn.rebrickable.com/media/sets/8205-1.jpg,Technic
8207,Dune Duster / Hawaiian Beach Racer,1996,https://cdn.rebrickable.com/media/sets/8207-1.jpg,Technic
8208,Custom Cruiser,1998,https://cdn.rebrickable.com/media/sets/8208-1.jpg,Technic
8209,Future F1,1998,https://cdn.rebrickable.com/media/sets/8209-1.jpg,Technic
8210,Nitro Bike GTX / GTX 500,1995,https://cdn.rebrickable.com/media/sets/8210-1.jpg,Technic
8213,Spy Runner,1998,https://cdn.rebrickable.com/media/sets/8213-1.jpg,Technic
8215,Gyro Copter,1997,https://cdn.rebrickable.com/media/sets/8215-1.jpg,Technic
8216,Turbo I,1997,https://cdn.rebrickable.com/media/sets/8216-1.jpg,Technic
8217,The Wasp,1998,https://cdn.rebrickable.com/media/sets/8217-1.jpg,Technic
8218,Trike Tourer,1998,https://cdn.rebrickable.com/media/sets/8218-1.jpg,Technic
8219,Go-Cart,1998,https://cdn.rebrickable.com/media/sets/8219-1.jpg,Technic
8222,V-TOL,1997,https://cdn.rebrickable.com/media/sets/8222-1.jpg,Technic
8223,Hydrofoil 7 / Powerboat Columbia,1996,https://cdn.rebrickable.com/media/sets/8223-1.jpg,Technic
8225,Road Rally V / Super Kart,1995,https://cdn.rebrickable.com/media/sets/8225-1.jpg,Technic
8226,Mud Masher / Desert Stormer,1998,https://cdn.rebrickable.com/media/sets/8226-1.jpg,Technic
8229,Tread Trekker,1997,https://cdn.rebrickable.com/media/sets/8229-1.jpg,Technic
8230,Coastal Cop Buggy / Miami Police Patrol,1996,https://cdn.rebrickable.com/media/sets/8230-1.jpg,Technic
8232,Chopper Force,1997,https://cdn.rebrickable.com/media/sets/8232-1.jpg,Technic
8235,Front End Loader,1995,https://cdn.rebrickable.com/media/sets/8235-1.jpg,Technic
8246,Hydro Racer / Swamp Boat,1999,https://cdn.rebrickable.com/media/sets/8246-1.jpg,Technic
8247,Road Rebel / Buggy Racer,1999,https://cdn.rebrickable.com/media/sets/8247-1.jpg,Technic
8248,Forklift,1998,https://cdn.rebrickable.com/media/sets/8248-1.jpg,Technic
8250,Search Sub [No CD],1997,https://cdn.rebrickable.com/media/sets/8250-1.jpg,Technic
8251,Sonic Cycle,1999,https://cdn.rebrickable.com/media/sets/8251-1.jpg,Technic
8252,Beach Buster / Police Car,1999,https://cdn.rebrickable.com/media/sets/8252-1.jpg,Technic
8253,Fire Helicopter,1999,https://cdn.rebrickable.com/media/sets/8253-1.jpg,Technic
8255,Rescue Bike,1999,https://cdn.rebrickable.com/media/sets/8255-1.jpg,Technic
8256,Go-Kart,2009,https://cdn.rebrickable.com/media/sets/8256-1.jpg,Technic
8258,Crane Truck,2009,https://cdn.rebrickable.com/media/sets/8258-1.jpg,Technic
8259,Mini Bulldozer,2009,https://cdn.rebrickable.com/media/sets/8259-1.jpg,Technic
8260,Tractor,2009,https://cdn.rebrickable.com/media/sets/8260-1.jpg,Technic
8261,Rally Truck,2009,https://cdn.rebrickable.com/media/sets/8261-1.jpg,Technic
8262,Quad Bike,2009,https://cdn.rebrickable.com/media/sets/8262-1.jpg,Technic
8263,Snow Groomer,2009,https://cdn.rebrickable.com/media/sets/8263-1.jpg,Technic
8264,Hauler,2009,https://cdn.rebrickable.com/media/sets/8264-1.jpg,Technic
8265,Front Loader,2009,https://cdn.rebrickable.com/media/sets/8265-1.jpg,Technic
8270,Rough Terrain Crane,2007,https://cdn.rebrickable.com/media/sets/8270-1.jpg,Technic
8271,Wheel Loader,2007,https://cdn.rebrickable.com/media/sets/8271-1.jpg,Technic
8272,Snowmobile,2007,https://cdn.rebrickable.com/media/sets/8272-1.jpg,Technic
8273,Off Road Truck,2007,https://cdn.rebrickable.com/media/sets/8273-1.jpg,Technic
8274,Combine Harvester,2007,https://cdn.rebrickable.com/media/sets/8274-1.jpg,Technic
8275,Motorized Bulldozer,2007,https://cdn.rebrickable.com/media/sets/8275-1.jpg,Technic
8277,Giant Model Set,1997,https://cdn.rebrickable.com/media/sets/8277-1.jpg,Technic
8279,4WD X-Track,2000,https://cdn.rebrickable.com/media/sets/8279-1.jpg,Technic
8280,Fire Engine / Fire Response Unit,1995,https://cdn.rebrickable.com/media/sets/8280-1.jpg,Technic
8281,Mini Tractor,2006,https://cdn.rebrickable.com/media/sets/8281-1.jpg,Technic
8282,Quad Bike,2006,https://cdn.rebrickable.com/media/sets/8282-1.jpg,Technic
8283,Telehandler,2006,https://cdn.rebrickable.com/media/sets/8283-1.jpg,Technic
8284,Tractor,2006,https://cdn.rebrickable.com/media/sets/8284-1.jpg,Technic
